date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp_formation,referee,match_report,notes,team
2025-10-13,15:00 (11:00),WCQ,First round,Mon,Home,W,3.0,0.0,sz Eswatini,,,Ryan Mendes,4-2-3-1,4-2-2-2,Ahmed Arajiga,Match Report,,Cape Verde
2025-10-08,15:00 (08:00),WCQ,First round,Wed,Away,D,3.0,3.0,ly Libya,,,Vozinha,4-1-4-1,3-5-2,Mahmood Ali Mahmood Ismail,Match Report,,Cape Verde
2025-09-09,15:00 (11:00),WCQ,First round,Tue,Home,W,1.0,0.0,cm Cameroon,,,Ryan Mendes,4-2-3-1,4-1-4-1,Daniel Nii Ayi Laryea,Match Report,,Cape Verde
2025-09-04,20:00 (11:00),WCQ,First round,Thu,Away,W,2.0,0.0,mu Mauritius,,,Vozinha,4-2-3-1,4-2-2-2,Mohamed Diraneh Guedi,Match Report,,Cape Verde
2025-06-08,20:00 (11:00),Friendlies (M),Friendlies (M),Sun,Away,D,1.0,1.0,ge Georgia,,9940.0,Ryan Mendes,4-2-3-1,4-1-4-1,Henrik Nalbandyan,Match Report,,Cape Verde
2025-05-29,21:00 (08:00),Friendlies (M),Friendlies (M),Thu,Away,D,1.0,1.0,my Malaysia,,10708.0,,,,Mongkolchai Pechsri,Match Report,,Cape Verde
2025-03-25,17:00 (11:00),WCQ,First round,Tue,Away,W,2.0,1.0,ao Angola,,,Ryan Mendes,4-2-3-1,4-1-4-1,Mustapha Ghorbal,Match Report,,Cape Verde
2025-03-20,15:00 (11:00),WCQ,First round,Thu,Home,W,1.0,0.0,mu Mauritius,,,Vozinha,4-1-4-1,4-2-2-2,Yannick Malala,Match Report,,Cape Verde
2024-11-19,15:00 (10:00),Africa Cup of Nations qualification,Group stage,Tue,Away,L,0.0,1.0,mr Mauritania,,,Pico,4-2-3-1,4-2-3-1,Lahlou Benbraham,Match Report,,Cape Verde
2024-11-15,15:00 (11:00),Africa Cup of Nations qualification,Group stage,Fri,Home,D,1.0,1.0,eg Egypt,,,Ryan Mendes,4-2-3-1,4-1-4-1,Louis Houngnandande,Match Report,,Cape Verde
