date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp_formation,referee,match_report,notes,team
2026-03-31,18:00 (11:00),Friendlies (M),Friendlies (M),Tue,Away,L,1.0,2.0,rs Serbia,,4101.0,Mohamed Kanno,4-2-3-1,4-2-3-1,Balázs Berke,Match Report,,Saudi Arabia
2026-03-27,20:30 (12:30),Friendlies (M),Friendlies (M),Fri,Home,L,0.0,4.0,eg Egypt,,,Salman Al-Faraj,3-4-1-2,4-1-4-1,Abdulla Ali Al Athba,Match Report,,Saudi Arabia
2025-11-18,19:30 (11:30),Friendlies (M),Friendlies (M),Tue,Home,L,0.0,2.0,dz Algeria,,8427.0,Salem Al-Dawsari,4-1-4-1,4-2-3-1,Abdulhadi Al Asmar Al Ruaile,Match Report,,Saudi Arabia
2025-11-14,19:30 (11:30),Friendlies (M),Friendlies (M),Fri,Home,W,1.0,0.0,ci Côte d'Ivoire,,2271.0,Mohamed Kanno,4-1-4-1,4-2-2-2,Yahya Ali Al Mulla,Match Report,,Saudi Arabia
2025-10-14,21:45 (13:45),WCQ,Fourth round,Tue,Home,D,0.0,0.0,iq Iraq,62.0,60816.0,Salem Al-Dawsari,4-2-3-1,4-2-3-1,Adham Makhadmeh,Match Report,,Saudi Arabia
2025-10-08,20:15 (12:15),WCQ,Fourth round,Wed,Away,W,3.0,2.0,id Indonesia,55.0,40634.0,Salem Al-Dawsari,4-2-3-1,4-2-2-2,Ahmad Al Ali,Match Report,,Saudi Arabia
2025-09-08,19:15 (12:15),Friendlies (M),Friendlies (M),Mon,Away,D,1.0,1.0,cz Czechia,,8300.0,Salem Al-Dawsari,4-1-4-1,3-4-3,Martin Dohál,Match Report,,Saudi Arabia
2025-09-04,17:00 (10:00),Friendlies (M),Friendlies (M),Thu,Neutral,W,2.0,1.0,mk N. Macedonia,,500.0,Mohamed Kanno,3-4-3,5-3-2,Dominik Starý,Match Report,,Saudi Arabia
2025-06-28,19:15 (21:15),Gold Cup,Quarter-finals,Sat,Neutral,L,0.0,2.0,mx Mexico,40.0,45255.0,Saleh Al-Shehri,4-4-2,4-3-3,Lukasz Szpala,Match Report,,Saudi Arabia
2025-06-22,16:00 (18:00),Gold Cup,Group stage,Sun,Neutral,D,1.0,1.0,tt Trin & Tobago,66.0,35000.0,Saleh Al-Shehri,4-3-3,4-5-1,Keylor Herrera,Match Report,,Saudi Arabia
