date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp_formation,referee,match_report,notes,team
2026-03-31,20:30 (13:30),Friendlies (M),Friendlies (M),Tue,Neutral,D,0.0,0.0,dz Algeria,,,José María Giménez,4-1-4-1,5-4-1,Luca Pairetto,Match Report,,Uruguay
2026-03-27,19:45 (14:45),Friendlies (M),Friendlies (M),Fri,Away,D,1.0,1.0,eng England,,80581.0,Federico Valverde,4-2-3-1,4-2-3-1,Sven Jablonski,Match Report,,Uruguay
2025-11-18,19:07,Friendlies (M),Friendlies (M),Tue,Away,L,1.0,5.0,us United States,,26110.0,Rodrigo Bentancur,4-2-3-1,3-4-3,Julio César Luna,Match Report,,Uruguay
2025-11-15,19:00 (20:00),Friendlies (M),Friendlies (M),Sat,Away,D,0.0,0.0,mx Mexico,,,José María Giménez,4-1-4-1,4-1-4-1,Fernando Morón,Match Report,,Uruguay
2025-10-13,20:45 (07:45),Friendlies (M),Friendlies (M),Mon,Neutral,W,2.0,1.0,uz Uzbekistan,,,Santiago Bueno,4-1-4-1,3-4-3,Izzul Fikri,Match Report,,Uruguay
2025-10-10,20:45 (07:45),Friendlies (M),Friendlies (M),Fri,Neutral,W,1.0,0.0,do Dominican Rep.,,7777.0,Marcelo Saracchi,4-1-4-1,5-4-1,Razlan Joffri,Match Report,,Uruguay
2025-09-09,20:30 (18:30),WCQ,World Cup qualification,Tue,Away,D,0.0,0.0,cl Chile,51.0,,Federico Valverde,4-3-3,4-2-3-1,Anderson Daronco,Match Report,,Uruguay
2025-09-04,20:30 (18:30),WCQ,World Cup qualification,Thu,Home,W,3.0,0.0,pe Peru,63.0,,Federico Valverde,4-3-3,4-5-1,Facundo Tello,Match Report,,Uruguay
2025-06-10,20:00 (18:00),WCQ,World Cup qualification,Tue,Home,W,2.0,0.0,ve Venezuela,59.0,,José María Giménez,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,,Uruguay
2025-06-05,19:00 (18:00),WCQ,World Cup qualification,Thu,Away,L,0.0,2.0,py Paraguay,71.0,,José María Giménez,4-3-3,4-4-1-1,Darío Herrera,Match Report,,Uruguay
